GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,112,2,9,1,23,2,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,247,0,11,0,69,0,14,0,8,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,47,15,8,0,13,6,11,2,7,2
parking-system,com.parkit.parkingsystem.model,Ticket,10,45,0,0,4,18,3,12,3,12
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,54,0,4,0,17,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,287,0,8,0,66,0,10,0,6,0
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,107,0,4,0,29,0,6,0,4,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,60,0,6,0,26,0,9,0,6,0
